Stock,Date,Close,Predicted,Probability,Future_Close,Actual,Result
RELIANCE,2025-11-21,1546.5999755859375,DOWN,0.6341908836964034,1567.5,UP,WRONG
RELIANCE,2025-11-24,1535.9000244140625,DOWN,0.6229705045246561,1566.0999755859375,UP,WRONG
RELIANCE,2025-11-25,1539.699951171875,DOWN,0.6141875626257152,1546.300048828125,UP,WRONG
RELIANCE,2025-11-26,1569.9000244140625,DOWN,0.6373558547463691,1538.800048828125,DOWN,CORRECT
RELIANCE,2025-11-27,1563.4000244140625,DOWN,0.6216243699327633,1535.5999755859375,DOWN,CORRECT
RELIANCE,2025-11-28,1567.5,DOWN,0.6340727253202414,1540.5999755859375,DOWN,CORRECT
RELIANCE,2025-12-01,1566.0999755859375,DOWN,0.6328490150945223,1543.0,DOWN,CORRECT
RELIANCE,2025-12-02,1546.300048828125,DOWN,0.5896173086368585,1529.4000244140625,DOWN,CORRECT
RELIANCE,2025-12-03,1538.800048828125,DOWN,0.5744085174737652,1536.9000244140625,DOWN,CORRECT
RELIANCE,2025-12-04,1535.5999755859375,DOWN,0.5694532617650047,1545.0,UP,WRONG
RELIANCE,2025-12-05,1540.5999755859375,DOWN,0.5787554635770394,1556.5,UP,WRONG
RELIANCE,2025-12-08,1543.0,DOWN,0.6015605197843176,1556.199951171875,UP,WRONG
RELIANCE,2025-12-09,1529.4000244140625,DOWN,0.5709437728697004,1542.300048828125,UP,WRONG
RELIANCE,2025-12-10,1536.9000244140625,DOWN,0.5814987710214604,1544.4000244140625,UP,WRONG
RELIANCE,2025-12-11,1545.0,DOWN,0.5957547812366123,1544.4000244140625,DOWN,CORRECT
RELIANCE,2025-12-12,1556.5,DOWN,0.6286676451078976,1565.0999755859375,UP,WRONG
RELIANCE,2025-12-15,1556.199951171875,DOWN,0.6280671851154429,1575.4000244140625,UP,WRONG
RELIANCE,2025-12-16,1542.300048828125,DOWN,0.5994920541474333,1570.699951171875,UP,WRONG
RELIANCE,2025-12-17,1544.4000244140625,DOWN,0.604604168304227,1558.199951171875,UP,WRONG
